Time, Stroke, Point, x, y
1558.731, 0, 0, 857.8218, 549.1749
1559.729, 0, 1, 857.8218, 549.1749
1560.726, 0, 2, 857.8218, 549.1749
1561.723, 0, 3, 857.8218, 549.1749
1562.721, 0, 4, 857.8218, 549.1749
1563.718, 0, 5, 865.7426, 549.1749
1564.715, 0, 6, 865.7426, 549.1749
1565.713, 0, 7, 865.7426, 549.1749
1566.709, 0, 8, 865.7426, 549.1749
1567.707, 0, 9, 865.7426, 549.1749
1568.705, 0, 10, 865.7426, 549.1749
1569.702, 0, 11, 865.7426, 549.1749
1572.693, 0, 12, 865.7426, 549.1749
1574.688, 0, 13, 871.0231, 549.1749
1575.686, 0, 14, 871.0231, 549.1749
1576.683, 0, 15, 871.0231, 549.1749
1576.683, 0, 16, 871.0231, 549.1749
1577.681, 0, 17, 871.0231, 549.1749
1578.677, 0, 18, 871.0231, 549.1749
1579.675, 0, 19, 876.3036, 549.1749
1580.672, 0, 20, 876.3036, 549.1749
1581.67, 0, 21, 876.3036, 549.1749
1582.667, 0, 22, 876.3036, 549.1749
1583.665, 0, 23, 876.3036, 549.1749
1584.661, 0, 24, 876.3036, 549.1749
1585.659, 0, 25, 876.3036, 549.1749
1586.656, 0, 26, 876.3036, 549.1749
1587.654, 0, 27, 889.5049, 543.8944
1588.651, 0, 28, 889.5049, 543.8944
1589.649, 0, 29, 889.5049, 543.8944
1590.646, 0, 30, 889.5049, 543.8944
1591.643, 0, 31, 889.5049, 543.8944
1592.64, 0, 32, 889.5049, 543.8944
1593.638, 0, 33, 889.5049, 543.8944
1594.635, 0, 34, 889.5049, 543.8944
1595.632, 0, 35, 889.5049, 543.8944
1596.63, 0, 36, 900.066, 541.2542
1597.627, 0, 37, 900.066, 541.2542
1598.625, 0, 38, 900.066, 541.2542
1600.619, 0, 39, 900.066, 541.2542
1601.615, 0, 40, 900.066, 541.2542
1602.614, 0, 41, 900.066, 541.2542
1603.611, 0, 42, 900.066, 541.2542
1604.609, 0, 43, 913.2673, 535.9736
1605.606, 0, 44, 913.2673, 535.9736
1606.603, 0, 45, 913.2673, 535.9736
1606.603, 0, 46, 913.2673, 535.9736
1607.6, 0, 47, 913.2673, 535.9736
1608.597, 0, 48, 913.2673, 535.9736
1609.595, 0, 49, 913.2673, 535.9736
1610.593, 0, 50, 913.2673, 535.9736
1611.59, 0, 51, 923.8284, 533.3333
1612.587, 0, 52, 923.8284, 533.3333
1613.584, 0, 53, 923.8284, 533.3333
1614.582, 0, 54, 923.8284, 533.3333
1615.579, 0, 55, 923.8284, 533.3333
1616.577, 0, 56, 923.8284, 533.3333
1617.574, 0, 57, 923.8284, 533.3333
1618.571, 0, 58, 923.8284, 533.3333
1619.567, 0, 59, 923.8284, 533.3333
1620.566, 0, 60, 926.4686, 530.6931
1621.563, 0, 61, 926.4686, 530.6931
1622.561, 0, 62, 926.4686, 530.6931
1622.561, 0, 63, 926.4686, 530.6931
1623.557, 0, 64, 926.4686, 530.6931
1624.555, 0, 65, 926.4686, 530.6931
1625.552, 0, 66, 926.4686, 530.6931
1626.55, 0, 67, 926.4686, 530.6931
1627.547, 0, 68, 934.3894, 528.0528
1628.544, 0, 69, 934.3894, 528.0528
1629.542, 0, 70, 934.3894, 528.0528
1630.539, 0, 71, 934.3894, 528.0528
1631.536, 0, 72, 934.3894, 528.0528
1632.533, 0, 73, 934.3894, 528.0528
1633.531, 0, 74, 934.3894, 528.0528
1633.531, 0, 75, 934.3894, 528.0528
1634.528, 0, 76, 934.3894, 528.0528
